                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5766,                 2.0451,                 1.3085,                0.78634,                0.83654,                0.80409,                0.42926,                 1.7368,                 1.7929,                 1.3982,                0.00042,                0.00042,                0.00042
                      2,                 1.4321,                 1.0655,                 1.1903,                0.80908,                0.70455,                0.75644,                0.42187,                 1.5924,                 1.8081,                 1.2962,              0.0005762,              0.0005762,              0.0005762
                      3,                 1.4122,                0.91157,                 1.2047,                0.78615,                0.79545,                0.82071,                0.45516,                  1.676,                 1.0893,                 1.4225,               0.000442,               0.000442,               0.000442
