                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0827,                0.62797,                 1.0768,                0.80938,                0.86856,                0.91952,                0.54224,                 1.5299,                0.70908,                 1.4223,              0.0013268,              0.0013268,              0.0013268
                     36,                   1.07,                0.64727,                 1.0963,                0.92575,                0.85029,                0.90726,                0.51175,                 1.5156,                0.75732,                 1.4056,               0.001307,               0.001307,               0.001307
                     37,                 1.1067,                0.63575,                 1.1159,                0.84999,                0.90153,                0.89382,                0.49459,                 1.5736,                 0.7447,                 1.4204,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0654,                0.62009,                 1.0969,                0.86136,                 0.8473,                0.90918,                 0.4948,                 1.5827,                0.71811,                 1.5555,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0715,                0.59343,                 1.0807,                0.84886,                0.88636,                0.89865,                0.50305,                  1.573,                0.71018,                 1.4865,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.028,                0.58342,                 1.0606,                0.90383,                0.86364,                0.89862,                0.52371,                 1.6045,                0.72423,                 1.4623,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0345,                0.58278,                 1.0528,                0.92562,                0.84856,                0.90863,                 0.5144,                 1.7107,                0.71741,                 1.5786,               0.001208,               0.001208,               0.001208
                     42,                 1.0013,                0.56762,                 1.0558,                0.88549,                0.95455,                0.94142,                0.54891,                 1.5695,                0.68359,                 1.5635,              0.0011882,              0.0011882,              0.0011882
                     43,                0.99661,                0.57661,                 1.0718,                 0.8835,                0.86178,                0.88016,                0.49532,                 1.5752,                0.67811,                 1.5305,              0.0011684,              0.0011684,              0.0011684
                     44,                0.99499,                0.53828,                 1.0568,                0.81166,                0.88156,                0.85551,                0.52165,                 1.4875,                0.67749,                 1.4636,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0307,                0.55308,                 1.0388,                0.88142,                0.90909,                0.91333,                0.51881,                 1.6089,                0.71086,                 1.4518,              0.0011288,              0.0011288,              0.0011288
                     46,                0.95619,                0.54287,                 1.0291,                0.94873,                0.77273,                0.88033,                0.54498,                 1.5945,                0.68012,                 1.4856,               0.001109,               0.001109,               0.001109
                     47,                0.95605,                0.54549,                  1.037,                0.88184,                0.84822,                0.88499,                 0.5117,                 1.7011,                0.76755,                 1.5403,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0004,                0.54859,                 1.0425,                0.84519,                0.86865,                0.88346,                0.50665,                 1.6415,                0.77051,                 1.5414,              0.0010694,              0.0010694,              0.0010694
                     49,                0.93814,                0.51639,                 1.0558,                0.85737,                0.84091,                0.88262,                0.51547,                 1.5997,                0.71213,                 1.5678,              0.0010496,              0.0010496,              0.0010496
                     50,                0.97855,                0.55649,                 1.0509,                0.88366,                0.86312,                0.89634,                0.51305,                 1.6487,                0.73566,                 1.4873,              0.0010298,              0.0010298,              0.0010298
                     51,                0.96988,                0.52801,                 1.0317,                0.90459,                0.86199,                0.91067,                0.54614,                 1.5784,                0.70764,                 1.5157,                0.00101,                0.00101,                0.00101
                     52,                0.93148,                0.50948,                  1.005,                0.82178,                0.88636,                0.89404,                 0.4965,                 1.6503,                0.70148,                 1.4695,              0.0009902,              0.0009902,              0.0009902
                     53,                0.89791,                 0.5078,                0.98802,                0.82492,                0.88636,                0.90642,                0.54543,                 1.6017,                0.66472,                 1.5004,              0.0009704,              0.0009704,              0.0009704
                     54,                0.88786,                0.49993,                  1.016,                0.85786,                0.86364,                 0.8843,                0.52119,                 1.5618,                0.68136,                  1.473,              0.0009506,              0.0009506,              0.0009506
                     55,                0.91214,                0.49673,                 1.0152,                0.89458,                0.81818,                0.90143,                0.53248,                   1.58,                0.67088,                 1.5442,              0.0009308,              0.0009308,              0.0009308
                     56,                0.93524,                0.50207,                 1.0229,                0.95148,                0.84091,                 0.9156,                0.55016,                 1.5943,                0.67935,                 1.4913,               0.000911,               0.000911,               0.000911
                     57,                0.91825,                0.51267,                 1.0198,                0.82825,                0.87693,                0.90538,                0.53533,                 1.6311,                 0.6906,                 1.5454,              0.0008912,              0.0008912,              0.0008912
                     58,                0.87567,                0.49808,                0.98728,                0.80297,                0.92632,                0.88866,                0.50665,                 1.5834,                0.69677,                 1.4953,              0.0008714,              0.0008714,              0.0008714
