                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6308,                 2.1236,                 1.3579,                0.65072,                0.72727,                0.69266,                0.33755,                 1.6641,                 2.1315,                 1.3924,                0.00042,                0.00042,                0.00042
                      2,                 1.3847,                 1.0338,                 1.1871,                 0.7867,                0.83828,                0.77994,                0.39392,                 1.6678,                 1.7326,                 1.3305,              0.0005762,              0.0005762,              0.0005762
                      3,                 1.4034,                0.96578,                 1.2433,                0.85183,                0.86364,                0.86503,                0.45014,                 1.5981,                 1.1785,                 1.3373,               0.000442,               0.000442,               0.000442
