                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6062,                 2.0703,                 1.3418,                0.49373,                0.68182,                0.49821,                0.24282,                 1.7388,                 3.1393,                 1.5338,                0.00042,                0.00042,                0.00042
                      2,                 1.4326,                 1.0703,                 1.2285,                 0.7765,                0.72727,                0.73119,                0.38111,                 1.5622,                 1.2821,                   1.33,              0.0005762,              0.0005762,              0.0005762
                      3,                 1.3973,                0.93785,                 1.2519,                0.86235,                0.71205,                0.81209,                0.47468,                  1.596,                 1.1711,                 1.3452,               0.000442,               0.000442,               0.000442
