Epoch,Training Loss
1,2.238245406781735
2,0.41167479284941144
3,0.24253110108028209
4,0.1295641792776149
5,0.11009705955791389
6,0.10870016495449276
7,0.14506788451342117
8,0.11532973776684674
9,0.06204334223392377
10,0.04765514175323356
11,0.05541501481728472
12,0.03554392757351046
13,0.08235373377287891
14,0.07545463587713946
15,0.030454548174797882
16,0.05198351642909582
17,0.046040234376447664
18,0.03579112753280435
19,0.08314266995426697
20,0.06382963022058598
21,0.02866288729063115
22,0.02974622592870257
23,0.032641244792296346
24,0.04997459122363507
25,0.02850067641825426
26,0.029634984322719746
27,0.023173326476858578
28,0.04759942826252949
29,0.07144507860226113
30,0.03822058329034536
