                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1346,                0.64918,                 1.1036,                0.88808,                0.90185,                0.89712,                 0.4985,                 1.7039,                0.77469,                 1.5571,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.1672,                0.66414,                 1.1297,                 0.9031,                0.84737,                0.90397,                0.53919,                 1.5772,                0.78311,                 1.4883,               0.001769,               0.001769,               0.001769
                     37,                  1.108,                0.66541,                 1.1144,                0.89354,                0.86364,                 0.9098,                0.52845,                  1.534,                0.68057,                 1.5144,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.0984,                0.64956,                 1.1327,                0.87115,                0.88636,                0.90816,                0.52358,                  1.566,                0.79507,                 1.5044,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.1637,                0.63952,                 1.1036,                0.95854,                0.84091,                0.92113,                0.50618,                 1.6981,                0.78689,                 1.4993,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1136,                0.66007,                 1.1179,                0.91776,                0.86364,                0.94038,                0.51346,                  1.663,                0.74118,                 1.4969,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.1318,                0.64983,                 1.0906,                0.79598,                0.62083,                0.75439,                0.40436,                 1.7642,                 1.4948,                  1.638,               0.001736,               0.001736,               0.001736
                     42,                 1.0715,                0.62079,                 1.1009,                 0.8233,                0.84091,                0.88316,                0.49407,                   1.67,                 0.7898,                  1.508,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.0338,                0.58633,                 1.0839,                0.93639,                0.81818,                0.90333,                 0.5088,                 1.7329,                0.74508,                 1.6069,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.0426,                 0.5861,                 1.0816,                0.83957,                0.88636,                0.91946,                0.52159,                  1.626,                0.77292,                 1.5022,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.0496,                0.59638,                 1.0711,                0.80493,                0.86364,                0.87976,                0.49568,                 1.6407,                0.78346,                 1.4607,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.0114,                0.60166,                 1.0395,                0.84234,                0.88636,                0.89425,                0.48438,                 1.6549,                0.75783,                 1.5276,               0.001703,               0.001703,               0.001703
                     47,                  1.081,                0.62968,                 1.1023,                0.80351,                0.83651,                0.86137,                 0.5119,                 1.5821,                0.77492,                 1.4211,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.0359,                0.58838,                 1.0609,                0.84001,                0.86364,                0.88924,                0.47927,                 1.7242,                0.82998,                 1.5292,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.0562,                0.61092,                 1.0865,                 0.8603,                 0.8398,                0.87102,                0.50317,                 1.6208,                0.74685,                  1.427,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.0351,                0.57074,                 1.0555,                0.88948,                0.84091,                0.88084,                0.50715,                 1.6603,                0.70551,                 1.5608,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.0256,                0.57286,                 1.0658,                 0.9208,                0.81818,                 0.8512,                0.48632,                 1.7251,                0.89135,                 1.5767,                0.00167,                0.00167,                0.00167
                     52,                 1.0345,                0.56326,                 1.0494,                  0.807,                0.86364,                0.83869,                 0.4773,                 1.7473,                0.78681,                 1.6511,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0178,                0.56696,                 1.0475,                0.88794,                0.86364,                0.89589,                0.50756,                 1.6811,                0.69865,                 1.5582,              0.0016568,              0.0016568,              0.0016568
                     54,                0.99225,                0.55578,                 1.0533,                0.88019,                0.86364,                0.89762,                0.52608,                 1.6476,                0.68781,                 1.5624,              0.0016502,              0.0016502,              0.0016502
                     55,                0.95999,                0.55518,                 1.0319,                0.87547,                0.86364,                0.89526,                0.50219,                  1.713,                0.68161,                 1.5769,              0.0016436,              0.0016436,              0.0016436
                     56,                 0.9562,                0.54566,                 1.0406,                0.82397,                0.85116,                0.87701,                0.50582,                 1.6189,                0.77695,                 1.4361,               0.001637,               0.001637,               0.001637
                     57,                 1.0209,                0.54812,                 1.0568,                0.78066,                0.86364,                0.86645,                0.49321,                 1.6122,                0.71339,                 1.5369,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.0048,                0.57408,                 1.0292,                0.79326,                0.87213,                0.88574,                0.50376,                 1.5881,                0.71109,                 1.5179,              0.0016238,              0.0016238,              0.0016238
                     59,                0.98683,                0.54597,                 1.0351,                0.89313,                0.81818,                0.90998,                0.53539,                 1.5805,                0.75225,                 1.5752,              0.0016172,              0.0016172,              0.0016172
                     60,                0.96636,                0.55065,                 1.0285,                0.91535,                0.86364,                0.93431,                 0.4927,                 1.7331,                0.75702,                 1.5863,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0117,                0.57388,                 1.0531,                0.84062,                0.86364,                0.88846,                0.49463,                 1.7461,                0.71154,                 1.6103,               0.001604,               0.001604,               0.001604
                     62,                 1.0007,                0.57801,                 1.0469,                0.85757,                0.79545,                0.90325,                0.48413,                 1.7641,                0.73173,                 1.5772,              0.0015974,              0.0015974,              0.0015974
                     63,                0.94057,                0.52504,                 1.0122,                0.77596,                0.88636,                0.87052,                0.48662,                  1.639,                0.80525,                 1.5567,              0.0015908,              0.0015908,              0.0015908
                     64,                 0.9245,                 0.5376,                 1.0123,                0.89912,                0.79545,                0.87224,                0.49499,                 1.6715,                 0.8014,                 1.6431,              0.0015842,              0.0015842,              0.0015842
                     65,                0.96047,                0.52939,                 1.0418,                0.89561,                0.77273,                0.89138,                0.51158,                 1.6036,                 0.7059,                 1.5758,              0.0015776,              0.0015776,              0.0015776
                     66,                0.96695,                0.52998,                 1.0298,                0.88277,                0.85586,                0.90261,                0.54356,                 1.5957,                0.69943,                 1.5102,               0.001571,               0.001571,               0.001571
                     67,                0.90863,                0.52831,                 1.0148,                 0.8886,                0.84091,                0.91983,                0.51009,                  1.652,                0.69413,                 1.4768,              0.0015644,              0.0015644,              0.0015644
                     68,                0.91938,                0.53239,                 1.0253,                0.79852,                0.90909,                0.90509,                0.51873,                 1.6426,                0.73614,                 1.4087,              0.0015578,              0.0015578,              0.0015578
                     69,                0.96409,                0.54213,                  1.053,                0.88514,                0.88636,                 0.9103,                0.52528,                 1.5882,                 0.6582,                 1.5278,              0.0015512,              0.0015512,              0.0015512
                     70,                0.91722,                0.53174,                0.99218,                0.86634,                0.88636,                0.90944,                0.52528,                 1.6608,                0.65093,                 1.5745,              0.0015446,              0.0015446,              0.0015446
                     71,                0.95541,                0.53081,                  1.026,                0.83333,                0.90904,                0.92306,                0.49509,                 1.7037,                0.70187,                 1.5112,               0.001538,               0.001538,               0.001538
                     72,                0.95815,                0.53573,                 1.0195,                0.81207,                0.88389,                0.87772,                0.50619,                 1.6727,                0.75899,                 1.5035,              0.0015314,              0.0015314,              0.0015314
                     73,                0.99435,                0.54676,                 1.0419,                0.84086,                0.86364,                0.87417,                 0.4922,                 1.7146,                0.70814,                 1.6354,              0.0015248,              0.0015248,              0.0015248
                     74,                0.89921,                0.49844,                0.99061,                0.86079,                0.86364,                0.91161,                0.50233,                  1.669,                0.63751,                 1.6154,              0.0015182,              0.0015182,              0.0015182
                     75,                0.89331,                0.51294,                0.99447,                0.88704,                0.89243,                0.92623,                0.49582,                 1.7064,                0.69868,                 1.5799,              0.0015116,              0.0015116,              0.0015116
                     76,                0.93295,                0.50391,                 1.0228,                0.87476,                0.86364,                0.91316,                0.47405,                 1.7647,                0.67725,                 1.6194,               0.001505,               0.001505,               0.001505
                     77,                0.99464,                0.53288,                 1.0246,                0.86233,                0.88636,                0.93051,                0.50629,                 1.6949,                0.65732,                 1.6622,              0.0014984,              0.0014984,              0.0014984
                     78,                0.87503,                0.49599,                 1.0044,                0.85609,                0.94648,                0.96197,                0.51936,                 1.6301,                0.68304,                 1.6588,              0.0014918,              0.0014918,              0.0014918
                     79,                0.82628,                0.47235,                0.98485,                0.83706,                0.95455,                0.93628,                0.50982,                  1.678,                0.69044,                 1.6265,              0.0014852,              0.0014852,              0.0014852
                     80,                0.87809,                0.49987,                0.99745,                0.88824,                0.90909,                0.93733,                0.52876,                  1.662,                0.65716,                 1.5588,              0.0014786,              0.0014786,              0.0014786
                     81,                0.89696,                0.49666,                 1.0244,                0.86291,                0.86364,                0.90937,                0.50288,                 1.6702,                0.64106,                 1.6192,               0.001472,               0.001472,               0.001472
                     82,                0.90448,                  0.505,                 1.0108,                0.85196,                0.88636,                0.88518,                0.50233,                 1.6282,                0.68468,                 1.5937,              0.0014654,              0.0014654,              0.0014654
                     83,                0.90611,                0.49085,                 1.0276,                 0.8407,                0.86364,                0.87986,                0.48358,                 1.6266,                 0.7673,                 1.5771,              0.0014588,              0.0014588,              0.0014588
                     84,                0.85058,                0.49106,                0.98459,                0.78292,                0.88636,                0.87907,                0.48938,                 1.5592,                0.72371,                 1.4484,              0.0014522,              0.0014522,              0.0014522
                     85,                0.87801,                0.49247,                0.99404,                0.88014,                0.88636,                0.91781,                0.52802,                 1.6043,                0.65734,                 1.5061,              0.0014456,              0.0014456,              0.0014456
                     86,                0.90778,                 0.5032,                 1.0254,                0.86417,                0.84091,                0.89892,                0.51885,                 1.5676,                0.70419,                 1.5252,               0.001439,               0.001439,               0.001439
                     87,                0.92073,                0.53313,                  1.005,                0.90561,                0.87235,                0.91139,                0.49815,                 1.6287,                0.70917,                 1.5528,              0.0014324,              0.0014324,              0.0014324
                     88,                0.90706,                0.50745,                  1.023,                 0.8473,                0.90909,                0.89742,                0.50553,                 1.6588,                0.66863,                 1.6195,              0.0014258,              0.0014258,              0.0014258
                     89,                0.84949,                0.48806,                0.98641,                0.89988,                0.88636,                0.93391,                0.53379,                 1.6392,                0.66546,                 1.5936,              0.0014192,              0.0014192,              0.0014192
                     90,                0.88489,                0.46958,                0.98462,                0.84659,                0.90909,                0.91738,                0.55514,                  1.561,                   0.68,                 1.6042,              0.0014126,              0.0014126,              0.0014126
                     91,                 0.8348,                0.45898,                 1.0055,                0.89401,                0.84091,                0.90244,                0.52721,                 1.6197,                0.69905,                 1.6624,               0.001406,               0.001406,               0.001406
                     92,                0.79046,                0.44727,                0.99597,                0.88711,                0.90909,                0.93931,                0.53587,                 1.6195,                0.65003,                 1.6187,              0.0013994,              0.0013994,              0.0013994
                     93,                0.79307,                0.44625,                0.96119,                      1,                0.86642,                 0.9336,                0.54719,                 1.6622,                0.61366,                 1.6127,              0.0013928,              0.0013928,              0.0013928
                     94,                0.79244,                0.45045,                0.99295,                0.85836,                0.86364,                 0.8932,                0.51961,                  1.612,                0.65899,                 1.6742,              0.0013862,              0.0013862,              0.0013862
                     95,                 0.8467,                 0.4777,                0.98145,                0.83286,                0.90605,                0.90217,                0.52649,                 1.5711,                 0.7168,                 1.6247,              0.0013796,              0.0013796,              0.0013796
                     96,                 0.8532,                0.46644,                 1.0019,                 0.9056,                0.87226,                0.91206,                0.52921,                 1.5877,                0.65366,                 1.6144,               0.001373,               0.001373,               0.001373
                     97,                0.82193,                0.47457,                0.99665,                0.92259,                0.81818,                 0.9047,                0.52335,                 1.5914,                0.70241,                 1.4535,              0.0013664,              0.0013664,              0.0013664
                     98,                0.85598,                0.47367,                0.99915,                0.81297,                0.93182,                0.92358,                0.51168,                 1.6497,                0.70746,                 1.5576,              0.0013598,              0.0013598,              0.0013598
                     99,                0.81156,                0.45977,                0.98222,                0.87565,                0.77273,                0.89465,                0.51114,                 1.6247,                 0.7418,                 1.5175,              0.0013532,              0.0013532,              0.0013532
                    100,                0.82008,                 0.4548,                0.98237,                0.81832,                0.86364,                0.90008,                0.51176,                  1.602,                0.72009,                  1.498,              0.0013466,              0.0013466,              0.0013466
                    101,                 0.7875,                0.45347,                0.97688,                0.82574,                0.88636,                 0.9199,                0.51649,                 1.5901,                0.66234,                 1.5391,                0.00134,                0.00134,                0.00134
                    102,                0.83303,                0.46184,                0.97373,                0.83826,                0.86364,                0.86032,                 0.5126,                 1.6539,                0.69318,                 1.5039,              0.0013334,              0.0013334,              0.0013334
                    103,                 0.8165,                0.45982,                0.97111,                0.85302,                0.84091,                0.90437,                0.53881,                 1.6188,                0.71556,                 1.4555,              0.0013268,              0.0013268,              0.0013268
                    104,                0.83684,                0.46398,                0.97885,                 0.8232,                0.81818,                0.90424,                0.50955,                  1.671,                0.74271,                 1.5746,              0.0013202,              0.0013202,              0.0013202
                    105,                0.80229,                 0.4532,                0.96916,                0.84635,                0.86364,                0.90432,                0.52534,                 1.6694,                0.74469,                 1.6234,              0.0013136,              0.0013136,              0.0013136
                    106,                0.81497,                0.47135,                0.98613,                0.80546,                0.86364,                0.88022,                0.50143,                 1.6857,                0.70654,                  1.697,               0.001307,               0.001307,               0.001307
                    107,                0.81828,                0.44504,                0.97248,                  0.859,                0.81818,                0.90866,                  0.519,                 1.7084,                0.67759,                 1.7047,              0.0013004,              0.0013004,              0.0013004
                    108,                0.81258,                0.44692,                0.97568,                0.85625,                0.88636,                0.92967,                0.50217,                 1.6916,                0.75719,                 1.6678,              0.0012938,              0.0012938,              0.0012938
                    109,                0.82937,                 0.4606,                0.97477,                0.88334,                0.88636,                0.92799,                0.49471,                 1.6613,                0.66197,                 1.6535,              0.0012872,              0.0012872,              0.0012872
                    110,                0.82475,                0.45902,                0.96716,                0.89072,                0.84091,                0.91391,                0.53294,                 1.6573,                 0.6678,                 1.5968,              0.0012806,              0.0012806,              0.0012806
                    111,                0.79308,                0.44203,                 0.9751,                0.84441,                0.84091,                0.87981,                0.51635,                 1.6169,                0.66123,                 1.5854,               0.001274,               0.001274,               0.001274
                    112,                 0.7505,                0.43137,                0.94561,                0.88554,                0.88636,                 0.9222,                0.52193,                 1.6401,                0.67074,                 1.6337,              0.0012674,              0.0012674,              0.0012674
                    113,                0.75423,                0.42617,                0.95325,                0.85743,                0.88636,                0.91922,                0.53504,                 1.6553,                0.71552,                 1.6055,              0.0012608,              0.0012608,              0.0012608
                    114,                0.76826,                0.43082,                0.98389,                 0.8971,                0.77273,                0.87572,                0.53957,                 1.6398,                0.69613,                 1.6102,              0.0012542,              0.0012542,              0.0012542
                    115,                0.75502,                  0.437,                 0.9458,                0.93325,                0.81818,                0.90274,                0.53929,                 1.6081,                0.65797,                 1.6015,              0.0012476,              0.0012476,              0.0012476
                    116,                0.75927,                0.44156,                0.96086,                 0.9361,                0.81818,                0.90526,                0.50657,                 1.6093,                0.65913,                 1.6122,               0.001241,               0.001241,               0.001241
                    117,                0.76616,                0.42433,                0.96891,                0.86521,                0.87546,                0.92785,                0.51137,                  1.644,                0.70875,                 1.6304,              0.0012344,              0.0012344,              0.0012344
                    118,                0.72986,                0.41599,                0.94497,                0.91163,                0.88636,                0.92722,                0.50413,                 1.6294,                 0.6694,                 1.6237,              0.0012278,              0.0012278,              0.0012278
                    119,                0.76956,                  0.421,                0.95826,                0.88553,                0.87923,                0.92286,                0.51832,                   1.57,                0.64158,                 1.5947,              0.0012212,              0.0012212,              0.0012212
                    120,                0.75726,                0.41945,                0.95509,                0.92657,                0.86044,                0.94495,                0.55235,                 1.5462,                0.64163,                 1.6133,              0.0012146,              0.0012146,              0.0012146
                    121,                0.80128,                0.44304,                0.97199,                0.87051,                0.81818,                0.89977,                0.53316,                 1.5848,                0.67666,                 1.6088,               0.001208,               0.001208,               0.001208
                    122,                0.77692,                0.43845,                0.96872,                0.88288,                0.85677,                0.92558,                0.53869,                 1.5443,                0.67173,                 1.5703,              0.0012014,              0.0012014,              0.0012014
                    123,                0.77647,                0.42432,                0.95987,                 0.8964,                0.86364,                0.92839,                0.52216,                 1.5811,                0.63434,                 1.6132,              0.0011948,              0.0011948,              0.0011948
                    124,                0.77581,                0.43539,                0.96143,                0.83536,                0.92265,                0.92234,                0.53403,                 1.6075,                0.68363,                 1.6142,              0.0011882,              0.0011882,              0.0011882
                    125,                0.81567,                0.44401,                0.97976,                0.85562,                0.95455,                0.94582,                0.54894,                 1.5841,                0.65315,                 1.5935,              0.0011816,              0.0011816,              0.0011816
                    126,                0.80005,                0.43972,                0.95865,                0.94943,                0.85354,                0.91398,                0.52673,                  1.589,                0.65541,                 1.6229,               0.001175,               0.001175,               0.001175
                    127,                0.74373,                0.42052,                0.94425,                0.88162,                0.86364,                0.88157,                0.52228,                 1.6235,                0.67752,                 1.6565,              0.0011684,              0.0011684,              0.0011684
                    128,                0.74806,                0.41788,                0.95713,                0.89106,                0.84091,                0.90708,                0.51988,                 1.6202,                0.66724,                 1.6687,              0.0011618,              0.0011618,              0.0011618
                    129,                0.72353,                0.41939,                0.95033,                0.94995,                0.86278,                0.94109,                0.54654,                 1.5998,                0.67406,                 1.6122,              0.0011552,              0.0011552,              0.0011552
                    130,                0.72678,                0.40771,                0.93375,                0.92419,                0.84091,                0.91279,                0.52735,                 1.6674,                0.67732,                 1.6264,              0.0011486,              0.0011486,              0.0011486
                    131,                0.76264,                0.41501,                0.97605,                0.91884,                0.84091,                0.91535,                0.53184,                 1.6484,                0.67299,                 1.6488,               0.001142,               0.001142,               0.001142
                    132,                0.74951,                0.40082,                0.95694,                0.90627,                0.87912,                0.93507,                 0.5396,                 1.6124,                0.68469,                 1.5936,              0.0011354,              0.0011354,              0.0011354
                    133,                0.71345,                0.40462,                0.96307,                0.84443,                0.90909,                0.91808,                0.53294,                 1.6334,                 0.6571,                  1.598,              0.0011288,              0.0011288,              0.0011288
                    134,                0.72814,                0.40199,                0.95591,                0.84782,                0.88631,                0.86382,                0.49575,                 1.7024,                0.73387,                 1.6471,              0.0011222,              0.0011222,              0.0011222
                    135,                0.72812,                  0.409,                0.94174,                0.81239,                0.88574,                0.84372,                0.49332,                 1.6041,                0.76444,                 1.5642,              0.0011156,              0.0011156,              0.0011156
                    136,                0.72021,                0.40844,                0.95364,                 0.8397,                0.86364,                0.88365,                0.51188,                 1.6201,                0.72058,                 1.6665,               0.001109,               0.001109,               0.001109
                    137,                0.73024,                0.40584,                0.93474,                0.87864,                0.86364,                 0.9172,                0.53048,                 1.6075,                0.67201,                 1.7094,              0.0011024,              0.0011024,              0.0011024
                    138,                0.73773,                0.40356,                0.96925,                0.88838,                0.90449,                0.93336,                 0.5297,                  1.638,                 0.6658,                 1.7124,              0.0010958,              0.0010958,              0.0010958
                    139,                0.74256,                 0.4181,                0.94712,                0.91536,                0.81818,                0.89267,                0.51019,                 1.6423,                0.66621,                 1.6812,              0.0010892,              0.0010892,              0.0010892
                    140,                0.75742,                0.40704,                0.94656,                0.86525,                0.88636,                 0.9009,                0.50341,                 1.6713,                0.68379,                 1.6716,              0.0010826,              0.0010826,              0.0010826
                    141,                0.73889,                0.40985,                 0.9567,                0.87892,                0.86364,                0.91891,                0.51511,                 1.6515,                0.65813,                  1.706,               0.001076,               0.001076,               0.001076
                    142,                0.71105,                0.39924,                0.94292,                0.90444,                0.84091,                0.90722,                0.52767,                  1.636,                0.61916,                 1.6785,              0.0010694,              0.0010694,              0.0010694
                    143,                 0.7219,                0.39798,                0.92534,                 0.9179,                0.81818,                0.89441,                0.49397,                 1.6698,                0.68947,                 1.6868,              0.0010628,              0.0010628,              0.0010628
                    144,                0.73741,                0.40537,                0.93374,                0.90156,                0.83273,                 0.8857,                0.50866,                 1.6217,                0.65877,                 1.6384,              0.0010562,              0.0010562,              0.0010562
                    145,                 0.7094,                0.39237,                0.94923,                0.89566,                0.84091,                0.87963,                 0.5129,                 1.6687,                0.66342,                 1.6984,              0.0010496,              0.0010496,              0.0010496
                    146,                0.72775,                0.39483,                0.94626,                0.89875,                0.86364,                 0.8713,                0.52266,                 1.6484,                0.66288,                 1.6885,               0.001043,               0.001043,               0.001043
                    147,                0.68751,                0.38246,                0.93957,                0.88461,                0.88636,                0.90336,                0.53101,                 1.5876,                0.62507,                 1.6685,              0.0010364,              0.0010364,              0.0010364
                    148,                0.66866,                 0.3736,                0.93363,                0.91805,                0.86364,                0.90368,                0.53522,                  1.651,                 0.6703,                 1.7135,              0.0010298,              0.0010298,              0.0010298
                    149,                0.71312,                0.39598,                0.92741,                0.88242,                0.81818,                0.90373,                 0.5399,                 1.6131,                0.66906,                 1.7707,              0.0010232,              0.0010232,              0.0010232
                    150,                0.66831,                0.36999,                0.93438,                 0.8808,                0.84091,                0.91398,                0.53359,                  1.635,                0.69488,                 1.7667,              0.0010166,              0.0010166,              0.0010166
                    151,                0.68349,                0.38043,                0.94878,                0.92392,                0.86364,                0.94294,                0.53566,                 1.6116,                0.67088,                 1.7048,                0.00101,                0.00101,                0.00101
                    152,                0.69722,                0.39663,                 0.9439,                0.91031,                0.92281,                0.95073,                0.56189,                 1.6386,                 0.6523,                 1.6692,              0.0010034,              0.0010034,              0.0010034
